comunas,homicidios,violaciones,psupond,x,OK,COD_COMUNA,distrito,Cook
El Quisco,0,12.63503696,459.6485,El Quisco,1,5604,7,3.85
El Tabo,0,16.86198466,477.2696,El Tabo,1,5605,7,3.85
Empedrado,0,0,457.3068,Empedrado,1,7104,17,-3.34
Ercilla,11.01806963,22.03613927,422.3777,Ercilla,1,9204,22,-2.285
Estación Central,1.825267173,29.20427478,507.2571,Estación Central,1,13106,8,-2.565
Florida,0,10.3060909,449.3599,Florida,1,8104,20,-5.985
Freire,0,14.26737052,460.5599,Freire,1,9105,23,4.61
Freirina,0,17.0039109,454.1579,Freirina,1,3303,4,-6.75
Fresia,0,40.96681688,480.6158,Fresia,1,10104,25,-4.47
Frutillar,5.449591281,27.2479564,496.689,Frutillar,1,10105,25,-4.47
Futaleufú,0,0,482.65,Futaleufú,1,10402,26,-2.505
Futrono,0,18.97413193,458.2143,Futrono,1,14202,24,-0.855
Galvarino,0,0,444.764,Galvarino,1,9106,22,-2.285
General Lagos,0,0,424.5,General Lagos,1,15202,1,-1.445
Gorbea,0,19.41244985,472.3651,Gorbea,1,9107,23,4.61
Graneros,0,38.64609835,477.9192,Graneros,1,6106,15,-2.575
Guaitecas,0,53.7056928,500.125,Guaitecas,1,11203,27,-3.075
Hijuelas,0,0,471.844,Hijuelas,1,5503,6,-2.38
Hualaihué,0,0,458.3092,Hualaihué,1,10403,26,-2.505
Hualañé,0,19.34235977,495.0224,Hualañé,1,7302,17,-3.34
Hualpén,2.366359829,10.64861923,507.5465,Hualpén,1,8112,20,-5.985
Hualqui,8.742405036,0,472.7126,Hualqui,1,8105,20,-5.985
Huara,0,58.12263877,390.6,Huara,1,1404,2,2.535
Huasco,0,25.07836991,448.7626,Huasco,1,3304,4,-6.75
Huechuraba,2.320158699,18.56126959,511.0803,Huechuraba,1,13107,9,-4.675
Illapel,0,9.574264377,451.6493,Illapel,1,4201,5,-7.57
Independencia,2.002242512,32.03588019,504.9989,Independencia,1,13108,9,-4.675
Iquique,1.612955257,11.82833855,497.687,Iquique,1,1101,2,2.535
Isla De Maipo,0,12.43239883,476.0338,Isla de Maipo,1,13603,14,1.735
Isla De Pascua,0,77.41436036,459.7986,Isla de Pascua,1,5201,7,3.85
Juan Fernández,0,112.9943503,451.4375,Juan Fernández,1,5104,7,3.85
La Cisterna,0,10.00814949,519.8662,La Cisterna,1,13109,13,-11.78
La Cruz,0,0,498.235,La Cruz,1,5504,6,-2.38
La Estrella,0,0,466.3621,La Estrella,1,6202,16,-1.8
La Florida,0.503148451,14.84287932,517.5342,La Florida,1,13110,12,4.35
La Granja,2.462387038,9.028752473,487.2549,La Granja,1,13111,10,4.74
La Higuera,0,0,490.75,La Higuera,1,4104,5,-7.57
La Ligua,0,18.17049112,471.4991,La Ligua,1,5401,6,-2.38
La Pintana,2.473459777,29.68151732,459.787,La Pintana,1,13112,12,4.35
La Reina,1.054830067,6.328980401,583.0106,La Reina,1,13113,11,28.29
La Serena,0.45539207,18.21568279,511.5731,La Serena,1,4101,5,-7.57
La Unión,0,7.783312578,487.9719,La Unión,1,14201,24,-0.855
Lago Ranco,0,21.32196162,432.8494,Lago Ranco,1,14203,24,-0.855
Lago Verde,0,0,475.75,Lago Verde,1,11102,27,-3.075
Laguna Blanca,0,0,,Laguna Blanca,1,12102,28,-6.355
Laja,0,9.861446674,496.4478,Laja,1,8304,21,-3.985
Lampa,0,20.81598668,469.5579,Lampa,1,13302,8,-2.565
Lanco,0,6.00132029,461.5723,Lanco,1,14103,24,-0.855
Las Cabras,0,8.383283732,463.5246,Las Cabras,1,6107,16,-1.8
Las Condes,0.344888239,5.173323584,611.7355,Las Condes,1,13114,11,28.29
Lautaro,0,11.06286473,464.214,Lautaro,1,9108,22,-2.285
Lebu,0,38.82891978,466.9377,Lebu,1,8201,21,-3.985
Licantén,13.03950971,13.03950971,501.3406,Licantén,1,7303,17,-3.34
Limache,2.180359323,10.90179662,470.2853,Limache,1,5802,6,-2.38
Linares,0,13.10687565,507.462,Linares,1,7401,18,0.165
Litueche,17.88588803,17.88588803,460.6269,Litueche,1,6203,16,-1.8
Llaillay,4.222972973,0,463.4825,Llaillay,1,5703,6,-2.38
Llanquihue,0,26.96871629,473.9975,Llanquihue,1,10107,25,-4.47
Lo Barnechea,0.886351953,11.52257538,613.7526,Lo Barnechea,1,13115,11,28.29
Lo Espejo,4.107366562,26.69788265,467.8183,Lo Espejo,1,13116,13,-11.78
Lo Prado,1.110531167,23.32115451,499.6227,Lo Prado,1,13117,9,-4.675
Lolol,30.17046312,0,483.2,Lolol,1,6304,16,-1.8
Loncoche,0,27.65996681,479.1566,Loncoche,1,9109,23,4.61
Longaví,0,17.37438321,472.2876,Longaví,1,7403,18,0.165
Lonquimay,0,25.97852442,433.9951,Lonquimay,1,9205,22,-2.285
Los Alamos,0,0,456.0196,Los Alamos,1,8206,21,-3.985
Los Andes,0,15.73522855,489.3167,Los Andes,1,5301,6,-2.38
Los Ángeles,0,13.21566497,490.9277,Los Ángeles,1,8301,21,-3.985
Los Lagos,0,22.9273661,451.7742,Los Lagos,1,14104,24,-0.855
Los Muermos,0,18.46722068,471.1192,Los Muermos,1,10106,25,-4.47
Los Sauces,0,16.32653061,417.0933,Los Sauces,1,9206,22,-2.285
Los Vilos,0,5.280946346,444.3078,Los Vilos,1,4203,5,-7.57
Lota,4.23155044,21.1577522,467.5459,Lota,1,8106,21,-3.985
Lumaco,0,19.8000198,421.7168,Lumaco,1,9207,22,-2.285
Machalí,0,33.3871237,521.4203,Machalí,1,6108,15,-2.575
Macul,2.087094451,13.56611393,524.3208,Macul,1,13118,10,4.74
Máfil,0,0,452.2607,Máfil,1,14105,24,-0.855
Maipú,0.225129647,4.277463284,510.8179,Maipú,1,13119,8,-2.565
Malloa,0,7.242178447,444.8702,Malloa,1,6109,15,-2.575
Marchigüe,0,12.7665007,483.7356,Marchigüe,1,6204,16,-1.8
María Elena,0,58.65102639,418.7867,María Elena,1,2302,3,0.96
María Pinto,0,0,437.9322,María Pinto,1,13504,14,1.735
Mariquina,0,5.438920918,494.4442,Mariquina,1,14106,24,-0.855
Maule,0,31.88049369,473.5133,Maule,1,7105,17,-3.34
Maullín,0,0,451.75,Maullín,1,10108,26,-2.505
Mejillones,0,17.63512918,444.8864,Mejillones,1,2102,3,0.96
Melipeuco,0,55.44261689,427.4068,Melipeuco,1,9110,22,-2.285
Melipilla,1.857044699,16.71340229,481.9581,Melipilla,1,13501,14,1.735
Molina,0,9.332928906,475.0399,Molina,1,7304,17,-3.34
Monte Patria,3.106844378,15.53422189,449.6178,Monte Patria,1,4303,5,-7.57
Mostazal,0,11.07665042,461.9868,Mostazal,1,6110,15,-2.575
Mulchén,3.556314236,7.112628472,435.97,Mulchén,1,8305,21,-3.985
Nacimiento,0,3.853416053,474.3281,Nacimiento,1,8306,21,-3.985
Nancagua,0,11.46723238,499.6215,Nancagua,1,6305,16,-1.8
Natales,0,9.37778403,442.2094,Natales,1,12401,28,-6.355
Navidad,18.28822238,0,413.3241,Navidad,1,6205,16,-1.8
Negrete,0,11.15200178,440.2767,Negrete,1,8307,21,-3.985
Ninhue,0,0,488.4839,Ninhue,1,8408,19,-1.05
Ñiquén,0,0,466.6338,Ñiquén,1,8409,19,-1.05
Nogales,0,0,465.2126,Nogales,1,5506,6,-2.38
Nueva Imperial,0,9.221405957,453.5056,Nueva Imperial,1,9111,23,4.61
Ñuñoa,0.7000007,7.7000077,573.0171,Ñuñoa,1,13120,10,4.74
O'Higgins,0,0,           ,O'Higgins,1,11302,27,-3.075
Olivar,0,35.48364204,470.6437,Olivar,1,6111,15,-2.575
Ollagüe,0,0,,Ollagüe,1,2202,3,0.96
Olmué,0,6.156498184,462.9558,Olmué,1,5803,6,-2.38
Osorno,1.812842174,24.77550971,506.8512,Osorno,1,10301,25,-4.47
Ovalle,0,15.93540848,473.4925,Ovalle,1,4301,5,-7.57
Padre Hurtado,1.972542212,41.42338646,469.9859,Padre Hurtado,1,13604,14,1.735
Padre Las Casas,2.626947225,27.58294586,482.4755,Padre Las Casas,1,9112,23,4.61
Paihuano,0,0,441.9286,Paihuano,1,4105,5,-7.57
Paillaco,0,15.07689215,470.7422,Paillaco,1,14107,24,-0.855
Paine,0,15.03488092,467.772,Paine,1,13404,14,1.735
Palena,0,0,451.381,Palena,1,10404,26,-2.505
Palmilla,0,0,479.6151,Palmilla,1,6306,16,-1.8
Panguipulli,0,11.36848089,458.4955,Panguipulli,1,14108,24,-0.855
Panquehue,0,26.42356982,467.6089,Panquehue,1,5704,6,-2.38
Papudo,0,0,455.3714,Papudo,1,5403,6,-2.38
Paredones,0,14.70155837,472.3951,Paredones,1,6206,16,-1.8
Parral,0,13.28656463,496.5229,Parral,1,7404,18,0.165
Pedro Aguirre Cerda,0,28.70866229,491.8087,Pedro Aguirre Cerda,1,13121,13,-11.78
Pelarco,0,0,455.462,Pelarco,1,7106,17,-3.34
Pelluhue,0,0,440.0088,Pelluhue,1,7203,18,0.165
Pemuco,0,10.93972213,440.1422,Pemuco,1,8410,19,-1.05
Peñaflor,1.139718034,14.81633444,484.5584,Peñaflor,1,13605,14,1.735
Peñalolén,1.602429283,13.22004158,527.3328,Peñalolén,1,13122,11,28.29
Pencahue,0,0,489.1418,Pencahue,1,7107,17,-3.34
Penco,0,12.93565436,490.3069,Penco,1,8107,20,-5.985
Peralillo,0,9.477774619,460.1978,Peralillo,1,6307,16,-1.8
Perquenco,0,28.64919066,439.8053,Perquenco,1,9113,22,-2.285
Petorca,0,30.7314075,429.7,Petorca,1,5404,6,-2.38
Peumo,0,12.91155584,488.7529,Peumo,1,6112,16,-1.8
Pica,0,0,450,Pica,1,1405,2,2.535
Pichidegua,0,10.34233116,477.6321,Pichidegua,1,6113,16,-1.8
Pichilemu,0,13.19870653,481.9868,Pichilemu,1,6201,16,-1.8
Pinto,0,8.954154728,481.4541,Pinto,1,8411,19,-1.05
Pirque,0,0,507.2699,Pirque,1,13202,12,4.35
Pitrufquén,0,28.96511772,484.2962,Pitrufquén,1,9114,23,4.61
Placilla,0,0,494.2596,Placilla,1,6308,16,-1.8
Portezuelo,0,0,439.9196,Portezuelo,1,8412,19,-1.05
